City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Yulara,AU,83.23,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
5,Cape Town,ZA,76.1,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
7,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
13,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
19,Atuona,PF,77.49,broken clouds,-9.8,-139.0333,Villa Enata
22,Itarema,BR,87.48,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
26,Rikitea,PF,78.01,clear sky,-23.1203,-134.9692,People ThankYou
30,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Scoop Guest House
36,Padang,ID,76.51,overcast clouds,-0.9492,100.3543,Mercure Padang
37,Manicore,BR,75.15,light rain,-5.8092,-61.3003,Hotel Durval
46,Port Elizabeth,ZA,75.49,clear sky,-33.918,25.5701,39 On Nile Guest House
53,Santiago,CL,86.54,clear sky,-33.4569,-70.6483,Hotel Panamericano
63,Butaritari,KI,80.44,light rain,3.0707,172.7902,Isles Sunset Lodge
65,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
66,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
67,Sao Mateus Do Maranhao,BR,88.68,overcast clouds,-4.0417,-44.475,Pousada Pingo De Ouro
71,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
74,Saldanha,ZA,75.25,few clouds,-33.0117,17.9442,Blue Bay Lodge
75,Faanui,PF,81.23,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
81,Isangel,VU,75.83,scattered clouds,-19.55,169.2667,Tanna Lodge
82,Victoria,HK,75.25,clear sky,22.2855,114.1577,Mini Central
83,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
84,Cidreira,BR,78.69,broken clouds,-30.1811,-50.2056,Hotel Castelo
87,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro
91,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
100,Bathsheba,BB,84.81,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
110,Rameswaram,IN,76.66,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
112,Samarai,PG,80.1,overcast clouds,-10.6167,150.6667,Nuli Sapi
113,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
117,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
129,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
132,Porto Nacional,BR,78.8,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
138,Kanniyakumari,IN,75.02,few clouds,8.0833,77.5667,Sparsa Kanyakumari
140,Bloemfontein,ZA,89.08,clear sky,-29.1211,26.214,Protea by Marriott Hotel Bloemfontein
141,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
142,Sinnamary,GF,80.44,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
148,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
152,Port-Gentil,GA,84.16,light rain,-0.7193,8.7815,Fengshui Residence
154,Grand-Santi,GF,81.23,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
160,Bengkulu,ID,75.49,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
168,Puerto Escondido,MX,84.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
169,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
191,Viedma,AR,81.36,clear sky,-40.8135,-62.9967,Hotel Cristal
194,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
198,Karratha,AU,86.77,light rain,-20.7377,116.8463,ibis Styles Karratha
200,Namibe,AO,75.99,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
202,Macaubas,BR,86.49,overcast clouds,-13.0194,-42.6986,Hotel Portal
203,Touros,BR,85.32,few clouds,-5.1989,-35.4608,INN NEW HORIZON
208,Balabac,PH,78.69,overcast clouds,7.9868,117.0645,Divina's Inn
215,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
217,Kalianget,ID,79.29,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
219,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
225,Camocim,BR,88.27,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
231,Cukai,MY,78.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
240,Kavaratti,IN,80.6,overcast clouds,10.5669,72.642,Green leaf
241,Bodden Town,KY,82.98,few clouds,19.2833,-81.25,Will T Place
242,Miramar,US,79.02,clear sky,25.9873,-80.2323,Stadium Hotel
245,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
249,Black River,JM,82.24,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
251,Mvomero,TZ,77.54,scattered clouds,-6.25,38.6667,Kisampa Bush Retreat
254,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
257,Boyolangu,ID,75.0,broken clouds,-8.1181,111.8935,Yos ega cv
265,Hukuntsi,BW,88.07,scattered clouds,-24.0,21.75,Its me guest house
270,Katobu,ID,76.32,broken clouds,-4.9408,122.5276,La Ode Husein
274,Rio Claro,BR,79.29,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
275,Teodoro Sampaio,BR,84.76,overcast clouds,-22.5325,-52.1675,Hotel do Senhor
279,Boali,CF,86.18,broken clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
284,Cockburn Town,TC,77.47,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
285,Guasave,MX,76.03,clear sky,25.5667,-108.45,El Sembrador Hotel
286,Kulhudhuffushi,MV,79.43,few clouds,6.6221,73.07,Haajy Guest House 1
290,Peterongan,ID,76.17,overcast clouds,-7.5394,112.2792,Selaras Kost Syariah
291,Iralaya,HN,81.21,broken clouds,15.0,-83.2333,Iglesia morava renovada
292,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
293,San Pedro,PH,76.35,few clouds,14.35,121.0167,The Palines Apartment and Guesthouse
300,Banda Aceh,ID,77.95,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
304,Rocha,UY,84.0,overcast clouds,-34.4833,-54.3333,Aparts Hotel Bahía Pindó
318,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
322,Les Cayes,HT,82.74,light rain,18.2,-73.75,Villa Orphee
329,Imbituba,BR,88.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
334,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
339,Richards Bay,ZA,77.92,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
342,Sola,VU,79.48,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
354,Sao Felix Do Xingu,BR,84.97,broken clouds,-6.6447,-51.995,Rio Xingu Camping
355,Encruzilhada,BR,78.49,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
357,Chimore,BO,81.79,scattered clouds,-16.9833,-65.1333,Bichito
375,Maragogi,BR,83.43,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
377,Shenzhen,CN,75.15,scattered clouds,22.5455,114.0683,Grand Skylight
379,Mahibadhoo,MV,79.54,scattered clouds,3.7833,72.9667,Omadhoo Inn
385,Camopi,GF,78.03,overcast clouds,3.1655,-52.3158,La pousada
386,Belmonte,BR,83.41,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
387,Takoradi,GH,83.53,clear sky,4.8845,-1.7554,Raybow International Hotel
390,Sangmelima,CM,81.52,clear sky,2.9333,11.9833,gamestar hotel
398,Savannah Bight,HN,78.91,light rain,16.45,-85.85,Villa on Dunbar Rock
399,Sechura,PE,78.06,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
402,Kapoeta,SS,87.62,clear sky,4.7717,33.5903,Lokoges PHCC
404,Luz,BR,81.84,light rain,-19.8014,-45.6856,Hotel Turista
405,Rio Grande,BR,78.91,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
407,Buala,SB,77.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
416,Rioja,AR,80.35,few clouds,-29.4111,-66.8507,Hotel Libertador
418,Obidos,BR,88.48,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
420,Palora,EC,80.71,overcast clouds,-1.7,-77.9333,Rancho grande
421,Porto Novo,BJ,85.82,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
422,Sao Sebastiao,BR,81.16,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
424,Daru,PG,76.6,overcast clouds,-9.0763,143.2092,Daru Lodge
426,Harper,LR,83.14,overcast clouds,4.375,-7.7169,Screensaver
428,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,Le four à pain
430,Rawson,AR,76.37,clear sky,-43.3002,-65.1023,Hosteria Sampedro
432,Upata,VE,84.4,overcast clouds,8.0086,-62.3989,Posada Villa Nela
433,Quatre Cocos,MU,78.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
440,Sambava,MG,77.92,light rain,-14.2667,50.1667,Melrose
444,Kavieng,PG,81.66,broken clouds,-2.5744,150.7967,Nusa Island Retreat
450,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
