City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,43.95,93,100,3.0,overcast clouds
1,Saskylakh,RU,71.9167,114.0833,-55.64,100,64,3.71,broken clouds
2,Hobart,AU,-42.8794,147.3294,66.06,84,21,6.91,few clouds
3,Carnarvon,AU,-24.8667,113.6333,74.53,73,0,25.37,clear sky
4,Yulara,AU,-25.2406,130.9889,83.23,33,2,6.38,clear sky
5,Cape Town,ZA,-33.9258,18.4232,76.1,57,20,13.8,few clouds
6,Jamestown,US,42.097,-79.2353,28.02,75,100,11.5,light snow
7,Puerto Ayora,EC,-0.7393,-90.3518,77.56,88,84,7.0,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,59.02,54,40,29.93,scattered clouds
9,Busselton,AU,-33.65,115.3333,58.39,69,1,16.31,clear sky
10,Kushmurun,KZ,52.4503,64.6311,9.54,90,95,8.52,overcast clouds
11,Luderitz,NA,-26.6481,15.1594,71.01,62,17,26.19,few clouds
12,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,75,8.05,broken clouds
13,Georgetown,MY,5.4112,100.3354,82.35,88,20,0.0,few clouds
14,Khatanga,RU,71.9667,102.5,-44.99,100,100,3.58,overcast clouds
15,Torbay,CA,47.6666,-52.7314,26.28,86,100,12.66,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,44.91,98,24,1.23,few clouds
17,Ushuaia,AR,-54.8,-68.3,58.66,58,40,20.71,scattered clouds
18,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,80,0,32.21,clear sky
19,Atuona,PF,-9.8,-139.0333,77.49,73,83,9.55,broken clouds
20,Dudinka,RU,69.4058,86.1778,-34.38,99,53,4.38,broken clouds
21,Kodiak,US,57.79,-152.4072,38.71,87,100,16.11,moderate rain
22,Itarema,BR,-2.9248,-39.9167,87.48,54,98,16.84,overcast clouds
23,Barrow,US,71.2906,-156.7887,-2.18,78,0,23.02,clear sky
24,Yellowknife,CA,62.456,-114.3525,-13.45,76,20,6.91,few clouds
25,Mount Gambier,AU,-37.8333,140.7667,61.74,70,1,4.9,clear sky
26,Rikitea,PF,-23.1203,-134.9692,78.01,76,8,19.84,clear sky
27,Steamboat Springs,US,40.485,-106.8317,22.95,92,0,0.0,clear sky
28,Chipinge,ZW,-20.1883,32.6236,66.2,80,81,2.44,broken clouds
29,Sakakah,SA,29.9697,40.2064,54.97,69,76,9.26,broken clouds
30,Hithadhoo,MV,-0.6,73.0833,80.89,68,100,10.45,overcast clouds
31,Macklin,CA,52.3334,-109.9348,8.94,96,75,3.53,broken clouds
32,Lavrentiya,RU,65.5833,-171.0,-5.24,93,83,7.14,broken clouds
33,Nantucket,US,41.2835,-70.0995,53.65,98,100,13.8,light rain
34,Tasiilaq,GL,65.6145,-37.6368,7.36,63,100,8.95,overcast clouds
35,Srednekolymsk,RU,67.45,153.6833,-28.91,95,100,7.05,overcast clouds
36,Padang,ID,-0.9492,100.3543,76.51,91,100,5.1,overcast clouds
37,Manicore,BR,-5.8092,-61.3003,75.15,100,40,8.05,light rain
38,Muros,ES,42.7762,-9.0603,58.68,88,100,12.73,overcast clouds
39,Bonga,ET,7.2833,36.2333,62.1,77,37,1.16,scattered clouds
40,Alofi,NU,-19.0595,-169.9187,73.29,94,40,4.61,scattered clouds
41,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.49,85,32,17.07,scattered clouds
42,Llanelli,GB,51.682,-4.1619,48.85,82,20,11.5,few clouds
43,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,86,100,9.22,light snow
44,Codrington,AU,-38.2667,141.9667,59.49,90,13,7.65,few clouds
45,Solnechnyy,RU,50.7214,136.6319,-6.86,95,88,4.54,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,75.49,63,0,10.36,clear sky
47,Shubarshi,KZ,48.5872,57.1869,8.44,94,12,6.31,few clouds
48,Oume,JP,35.7839,139.2431,55.85,74,0,4.61,clear sky
49,Riyadh,SA,24.6877,46.7219,59.14,57,42,10.49,scattered clouds
50,Kem,RU,64.9555,34.5793,31.24,90,94,11.16,overcast clouds
51,Gilgit,PK,35.9221,74.3087,25.72,74,84,2.91,broken clouds
52,Lebu,CL,-37.6167,-73.65,61.81,69,15,16.53,few clouds
53,Santiago,CL,-33.4569,-70.6483,86.54,24,0,12.66,clear sky
54,Chuy,UY,-33.6971,-53.4616,74.37,60,100,4.09,moderate rain
55,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,8.05,broken clouds
56,Qaanaaq,GL,77.484,-69.3632,1.27,78,100,6.82,overcast clouds
57,Arraial Do Cabo,BR,-22.9661,-42.0278,91.36,58,0,12.66,clear sky
58,Mandalgovi,MN,45.7625,106.2708,-4.56,53,2,6.42,clear sky
59,Vila,PT,42.0304,-8.1588,47.28,88,84,4.14,broken clouds
60,Phan Thiet,VN,10.9333,108.1,74.59,91,78,1.7,broken clouds
61,Pevek,RU,69.7008,170.3133,-25.78,99,43,1.54,scattered clouds
62,Bolkhov,RU,53.4433,36.0044,21.24,95,100,10.51,overcast clouds
63,Butaritari,KI,3.0707,172.7902,80.44,81,31,15.39,light rain
64,Talnakh,RU,69.4865,88.3972,-34.8,89,21,6.89,few clouds
65,Avarua,CK,-21.2078,-159.775,75.25,78,100,4.61,overcast clouds
66,Neiafu,TO,-18.65,-173.9833,75.88,100,20,0.0,light rain
67,Sao Mateus Do Maranhao,BR,-4.0417,-44.475,88.68,58,90,1.99,overcast clouds
68,Antigonish,CA,45.6169,-61.9986,39.15,96,100,7.0,light rain
69,Bethel,US,41.3712,-73.414,54.64,86,100,6.91,overcast clouds
70,Clyde River,CA,70.4692,-68.5914,-14.57,64,20,9.22,few clouds
71,Cayenne,GF,4.9333,-52.3333,84.24,74,75,18.41,broken clouds
72,Atasu,KZ,48.6814,71.6433,-9.11,95,72,8.39,broken clouds
73,Hermanus,ZA,-34.4187,19.2345,71.8,74,0,7.05,clear sky
74,Saldanha,ZA,-33.0117,17.9442,75.25,79,18,14.67,few clouds
75,Faanui,PF,-16.4833,-151.75,81.23,76,100,23.96,moderate rain
