City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2023-01-13 03:53:51,-34.4187,19.2345,62.89,84,0,7.09
1,Kaitangata,NZ,2023-01-13 03:53:51,-46.2817,169.8464,59.97,64,67,7.54
2,Ushuaia,AR,2023-01-13 03:53:51,-54.8,-68.3,51.46,82,20,12.66
3,Am Timan,TD,2023-01-13 03:53:52,11.0297,20.2827,65.91,27,19,6.24
4,Puerto Ayora,EC,2023-01-13 03:53:52,-0.7393,-90.3518,73.54,97,62,5.88
5,Igrim,RU,2023-01-13 03:53:53,63.1906,64.4162,12.94,94,100,8.52
6,Nikolskoye,RU,2023-01-13 03:53:53,59.7035,30.7861,30.09,96,100,15.55
7,Chuy,UY,2023-01-13 03:53:53,-33.6971,-53.4616,67.15,86,88,6.38
8,Hobart,AU,2023-01-13 03:49:03,-42.8794,147.3294,81.27,55,10,6.85
9,Avarua,CK,2023-01-13 03:50:54,-21.2078,-159.775,78.85,69,100,8.05
10,Soderhamn,SE,2023-01-13 03:53:54,61.3037,17.0592,35.96,92,100,7.7
11,Nouadhibou,MR,2023-01-13 03:53:54,20.931,-17.0347,62.58,67,0,12.66
12,Colwyn Bay,GB,2023-01-13 03:53:55,53.2948,-3.7267,48.06,39,100,13.0
13,Kodiak,US,2023-01-13 03:53:55,57.79,-152.4072,35.38,91,95,6.29
14,Norman Wells,CA,2023-01-13 03:53:56,65.282,-126.8329,-0.36,78,75,9.22
15,Panama City,PA,2023-01-13 03:49:42,8.9936,-79.5197,78.75,82,75,6.91
16,Znamenskoye,RU,2023-01-13 03:53:56,57.1281,73.8282,0.32,99,92,5.28
17,Isangel,VU,2023-01-13 03:53:57,-19.55,169.2667,82.56,65,34,11.12
18,Albany,US,2023-01-13 03:53:57,42.6001,-73.9662,48.04,94,100,1.21
19,Mataura,NZ,2023-01-13 03:53:57,-46.1927,168.8643,71.02,40,54,7.43
20,Clyde River,CA,2023-01-13 03:53:58,70.4692,-68.5914,3.43,51,100,21.85
21,Progreso,MX,2023-01-13 03:53:58,21.2833,-89.6667,72.99,80,0,8.14
22,Atuona,PF,2023-01-13 03:53:58,-9.8,-139.0333,78.4,73,11,12.37
23,Busselton,AU,2023-01-13 03:53:59,-33.65,115.3333,78.44,52,1,16.8
24,Sao Felix Do Xingu,BR,2023-01-13 03:53:59,-6.6447,-51.995,70.65,98,56,0.72
25,Mar Del Plata,AR,2023-01-13 03:50:08,-38.0023,-57.5575,63.09,80,0,4.61
26,Waitati,NZ,2023-01-13 03:54:00,-45.75,170.5667,63.63,65,26,5.68
27,Tura,IN,2023-01-13 03:54:00,25.5198,90.2201,69.1,40,0,2.59
28,Salalah,OM,2023-01-13 03:54:01,17.0151,54.0924,71.4,48,8,8.46
29,Mandal,IN,2023-01-13 03:54:01,25.45,74.5667,62.71,44,1,4.56
30,Jamestown,US,2023-01-13 03:50:42,42.097,-79.2353,38.01,73,100,12.66
31,Kailua,US,2023-01-13 03:54:02,21.4022,-157.7394,80.58,67,0,8.05
32,Provideniya,RU,2023-01-13 03:54:02,64.3833,-173.3,10.51,79,100,6.71
33,Cape Town,ZA,2023-01-13 03:50:05,-33.9258,18.4232,63.12,90,0,4.61
34,Vaini,TO,2023-01-13 03:54:03,-21.2,-175.2,87.96,70,40,11.5
35,Deputatskiy,RU,2023-01-13 03:54:03,69.3,139.9,-32.28,97,100,4.61
36,Parkes,AU,2023-01-13 03:54:04,-33.1333,148.1833,95.36,26,96,6.13
37,Lisakovsk,KZ,2023-01-13 03:54:04,52.5369,62.4936,8.67,75,70,13.02
38,Bambous Virieux,MU,2023-01-13 03:54:05,-20.3428,57.7575,75.45,88,75,3.44
39,Bredasdorp,ZA,2023-01-13 03:54:05,-34.5322,20.0403,61.14,89,2,5.3
40,Awbari,LY,2023-01-13 03:54:06,26.5921,12.7805,46.85,56,41,3.29
41,Upernavik,GL,2023-01-13 03:54:06,72.7868,-56.1549,-1.19,65,100,4.34
42,Tasiilaq,GL,2023-01-13 03:54:07,65.6145,-37.6368,0.46,62,100,4.99
43,Hilo,US,2023-01-13 03:51:24,19.7297,-155.09,74.93,73,40,6.91
44,Narsaq,GL,2023-01-13 03:54:08,60.9167,-46.05,-1.08,94,64,5.75
45,Mahebourg,MU,2023-01-13 03:54:08,-20.4081,57.7,75.49,88,75,3.44
46,Iqaluit,CA,2023-01-13 03:54:08,63.7506,-68.5145,-5.31,76,100,3.44
47,Okha,RU,2023-01-13 03:54:09,53.5739,142.9478,6.15,93,100,13.18
48,Gaoual,GN,2023-01-13 03:54:09,11.75,-13.2,68.4,30,3,2.62
49,Meadow Lake,US,2023-01-13 03:51:15,34.8014,-106.5436,39.15,38,53,3.33
50,Tual,ID,2023-01-13 03:54:10,-5.6667,132.75,83.21,75,100,8.32
51,Mount Isa,AU,2023-01-13 03:54:10,-20.7333,139.5,91.17,46,75,5.75
52,New Norfolk,AU,2023-01-13 03:54:11,-42.7826,147.0587,81.91,38,7,5.01
53,Zhigansk,RU,2023-01-13 03:54:11,66.7697,123.3711,-65.24,100,73,1.07
54,Bluff,NZ,2023-01-13 03:54:12,-46.6,168.3333,58.71,65,97,7.63
55,Vrangel,RU,2023-01-13 03:54:12,42.7297,133.0839,39.22,60,100,4.23
56,Saint-Pierre,RE,2023-01-13 03:54:12,-21.3393,55.4781,82.08,51,0,0.0
57,Saint George,US,2023-01-13 03:54:13,37.1041,-113.5841,46.99,75,0,3.44
